City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
151,Saravena,CO,6.9538,-71.8752,90.45,36,66,0.81,broken clouds
152,Auki,SB,-8.7676,160.7034,80.76,86,99,7.31,moderate rain
153,Fare,PF,-16.7,-151.0167,77.59,85,100,12.12,light rain
154,Port Hardy,CA,50.6996,-127.4199,46.58,93,100,14.97,light rain
155,Baruun-Urt,MN,46.6806,113.2792,-5.93,94,8,6.82,clear sky
156,Palana,RU,59.1167,159.9667,0.01,92,50,5.1,scattered clouds
157,Tomatlan,MX,19.9333,-105.25,97.86,23,65,12.35,broken clouds
158,Pangai,TO,-19.8,-174.35,82.51,78,75,11.5,broken clouds
159,Lebu,CL,-37.6167,-73.65,63.97,76,3,9.86,clear sky
160,Hajnowka,PL,52.7433,23.5812,28.02,86,75,1.99,broken clouds
161,Adrar,MR,20.5022,-10.0711,64.9,18,79,9.37,broken clouds
162,Port Lincoln,AU,-34.7333,135.8667,64.99,71,97,12.08,overcast clouds
163,Omboue,GA,-1.5746,9.2618,77.67,88,100,7.36,overcast clouds
164,Povenets,RU,62.8487,34.8262,21.85,92,100,17.02,light snow
165,Severnoye,RU,56.3491,78.3619,-13.99,100,100,3.09,overcast clouds
166,Cabo San Lucas,MX,22.8909,-109.9124,84.61,58,75,5.01,broken clouds
167,Skjervoy,NO,70.0311,20.9714,36.27,87,100,35.66,light rain
168,Kinshasa,CD,-4.3246,15.3215,75.58,83,20,2.3,light rain
169,Fochabers,GB,57.6136,-3.0957,50.9,72,0,7.0,clear sky
170,Prokhorovka,RU,51.0374,36.7325,2.77,97,89,9.82,overcast clouds
171,Tuatapere,NZ,-46.1333,167.6833,55.81,62,75,3.02,broken clouds
172,Mali,GN,12.079,-12.2982,70.92,18,35,0.27,scattered clouds
173,Yellowknife,CA,62.456,-114.3525,-12.48,77,75,5.75,light snow
174,Tiarei,PF,-17.5333,-149.3333,75.22,82,99,15.52,light rain
175,Pacific Grove,US,36.6177,-121.9166,73.58,41,0,1.99,clear sky
176,Severo-Kurilsk,RU,50.6789,156.125,31.48,83,100,38.03,light snow
177,Airai,TL,-8.9266,125.4092,61.81,93,99,2.26,overcast clouds
178,Maunabo,PR,18.0072,-65.8993,80.44,76,4,7.87,clear sky
179,Thompson,CA,55.7435,-97.8558,-1.71,82,100,4.74,overcast clouds
180,Lavrentiya,RU,65.5833,-171.0,-16.02,94,34,9.22,scattered clouds
181,Mehamn,NO,71.0357,27.8492,35.78,86,100,14.97,shower snow
182,Shambu,ET,9.5667,37.1,56.1,63,100,3.38,overcast clouds
183,Coruche,PT,38.9595,-8.5252,54.91,76,0,5.73,clear sky
184,Dingle,PH,10.9995,122.6711,71.38,92,12,7.07,few clouds
185,Upernavik,GL,72.7868,-56.1549,6.66,94,100,4.14,light snow
186,Biltine,TD,14.5333,20.9167,76.1,24,9,9.01,clear sky
187,Itaituba,BR,-4.2761,-55.9836,86.16,70,20,9.22,thunderstorm
188,Gogrial,SS,8.5332,28.1004,88.32,29,97,1.83,overcast clouds
189,Evanston,US,42.0411,-87.6901,41.72,70,75,3.0,broken clouds
190,Japura,ID,-0.3167,102.35,71.92,93,100,2.08,overcast clouds
191,Aguachica,CO,8.3084,-73.6166,88.93,46,59,4.97,broken clouds
192,Tura,IN,25.5198,90.2201,56.84,93,98,1.81,overcast clouds
193,Ilulissat,GL,69.2167,-51.1,14.02,62,75,12.66,light snow
194,Manzhouli,CN,49.6,117.4333,-9.42,95,16,4.97,few clouds
195,San Vicente,AR,-26.6167,-54.1333,84.27,21,0,3.09,clear sky
196,Fortuna,US,40.5982,-124.1573,67.93,60,0,4.0,clear sky
197,Baherden,TM,38.4362,57.4316,47.25,64,1,3.78,clear sky
198,Mocajuba,BR,-2.5842,-49.5072,74.17,96,77,2.37,broken clouds
199,Ulaangom,MN,49.9811,92.0667,-15.95,96,100,2.24,overcast clouds
200,Lamar,US,33.6668,-95.5836,63.99,27,0,11.5,clear sky
201,Lazarev,RU,52.225,141.5131,11.17,93,100,18.79,overcast clouds
202,Abbeville,FR,50.1,1.8333,40.5,91,37,3.42,scattered clouds
203,Russell,US,32.3502,-85.1999,58.96,45,73,0.27,broken clouds
204,Vrangel,RU,42.7297,133.0839,9.52,60,81,19.64,broken clouds
205,Muscatine,US,41.4667,-91.1335,50.09,53,0,9.22,clear sky
206,Sungaipenuh,ID,-2.0833,101.3833,62.2,96,84,3.36,broken clouds
207,Sao Bento,BR,-6.2833,-37.75,79.0,60,98,11.36,moderate rain
208,Kibaya,TZ,-5.3,36.5667,58.71,73,88,5.86,overcast clouds
209,Caldas Novas,BR,-17.7417,-48.625,68.41,96,100,2.62,overcast clouds
210,Araouane,ML,18.9048,-3.5265,66.76,11,42,8.7,scattered clouds
211,Antofagasta,CL,-23.65,-70.4,74.21,61,79,7.61,broken clouds
212,Byron Bay,AU,-28.65,153.6167,75.06,68,55,7.85,broken clouds
213,Meligalas,GR,37.2167,21.9667,43.72,61,4,9.22,clear sky
214,Ternate,ID,0.8,127.4,79.66,81,100,7.81,overcast clouds
215,Thessalon,CA,46.2501,-83.5666,21.69,88,77,3.8,broken clouds
216,Nizwa,OM,22.9333,57.5333,61.79,57,2,3.98,clear sky
217,Didsbury,GB,53.417,-2.2315,47.97,94,12,1.99,few clouds
218,Enid,US,36.3956,-97.8784,61.3,24,40,5.99,scattered clouds
219,Cusset,FR,46.13,3.4596,27.63,78,1,1.19,clear sky
220,Konosha,RU,60.9736,40.257,4.33,86,94,10.27,overcast clouds
221,Bacong,PH,9.2464,123.2956,76.19,90,83,11.32,broken clouds
222,Acapulco,MX,16.8634,-99.8901,84.02,74,0,10.36,clear sky
223,Tezu,IN,27.9167,96.1667,57.09,96,100,2.04,overcast clouds
224,Sitka,US,57.0531,-135.33,39.09,87,100,0.0,overcast clouds
225,Dulce Nombre De Culmi,HN,15.1,-85.5333,73.17,80,77,4.29,broken clouds
226,Pirai Do Sul,BR,-24.5261,-49.9486,64.85,96,94,3.04,overcast clouds
227,Yuanping,CN,38.7153,112.7575,16.2,44,0,2.66,clear sky
228,Beverungen,DE,51.6667,9.3667,37.33,87,49,3.31,scattered clouds
229,Ahipara,NZ,-35.1667,173.1667,72.73,54,33,8.86,scattered clouds
230,Grand Gaube,MU,-20.0064,57.6608,79.38,86,92,5.01,overcast clouds
231,Vanimo,PG,-2.6741,141.3028,79.0,88,100,5.03,overcast clouds
232,Bud,US,39.447,-86.1758,49.12,57,98,7.85,overcast clouds
233,Ust-Tsilma,RU,65.441,52.1498,15.82,91,100,12.66,light snow
234,Puerto Ayora,EC,-0.7393,-90.3518,84.16,77,29,9.4,scattered clouds
235,Kenai,US,60.5544,-151.2583,28.45,100,100,3.44,light snow
236,Warri,NG,5.5167,5.75,81.93,79,54,6.58,broken clouds
237,Lethem,GY,3.3803,-59.7968,87.67,44,100,9.75,overcast clouds
238,Keffi,NG,8.8486,7.8736,75.58,20,9,1.36,clear sky
239,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,11.5,light rain
240,Shieli,KZ,44.1667,66.75,35.74,81,100,11.48,overcast clouds
241,Lompoc,US,34.6391,-120.4579,76.57,30,0,0.0,clear sky
242,Kibre Mengist,ET,5.8833,38.9833,57.13,49,97,2.71,overcast clouds
243,Georgetown,MY,5.4112,100.3354,78.73,67,20,6.91,few clouds
244,Hashtgerd,IR,35.9642,50.6858,48.76,58,10,6.22,clear sky
245,Naryan-Mar,RU,67.6713,53.087,13.57,90,100,19.51,overcast clouds
246,Bure,ET,10.7,37.0667,58.64,68,99,3.56,overcast clouds
247,Abu Samrah,SY,35.3029,37.1841,52.86,65,100,6.67,overcast clouds
248,Broken Hill,AU,-31.95,141.4333,82.11,42,64,8.05,broken clouds
249,Faya,SA,18.3851,42.4509,55.51,69,21,0.87,few clouds
250,Alihe,CN,50.5667,123.7167,-16.6,98,10,3.22,clear sky
251,Bubaque,GW,11.2833,-15.8333,78.73,67,46,11.81,scattered clouds
252,Mount Isa,AU,-20.7333,139.5,82.17,61,100,5.75,overcast clouds
253,Tucuman,AR,-26.8241,-65.2226,102.2,18,0,5.75,clear sky
254,Tessalit,ML,20.1986,1.0114,64.06,11,5,7.99,clear sky
255,Mnogovershinnyy,RU,53.9353,139.9242,2.21,97,100,5.39,overcast clouds
