City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
591,Hamilton,US,75.76,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
592,Mohpa,IN,78.15,overcast clouds,21.3167,78.8167,Arvind Waghmare
593,Meulaboh,ID,76.5,overcast clouds,4.1363,96.1285,Kost Pria
598,Nyaunglebin,MM,74.66,overcast clouds,17.95,96.7333,Royal Motel
601,Phan Thiet,VN,76.51,overcast clouds,10.9333,108.1,Hotel Saigon-PT
602,Mahajanga,MG,71.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
603,Hobbs,US,88.36,clear sky,32.7026,-103.136,Best Western Executive Inn
604,Gazanjyk,TM,76.93,clear sky,39.2446,55.5154,Railway motel
606,Mabaruma,GY,83.75,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
607,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
608,Biak,ID,74.89,overcast clouds,-0.9131,122.8766,Penginapan Kim
609,Itarema,BR,79.45,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
612,Kirakira,SB,81.32,scattered clouds,-10.4544,161.9205,SanBiz Lodge
614,Ahuimanu,US,87.51,light rain,21.4447,-157.8378,Paradise Bay Resort
617,Pecos,US,88.83,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
618,Semnan,IR,78.37,clear sky,35.5729,53.3971,Semnan Tourist Hotel
619,Dzilam Gonzalez,MX,83.97,overcast clouds,21.2833,-88.9333,posadas
621,Yarmouth,US,76.44,few clouds,41.7057,-70.2286,Blue Rock Resort
629,Linqiong,CN,75.02,broken clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
630,Usta Muhammad,PK,87.44,clear sky,28.1794,68.0445,Teshseel Colony
631,Caraballeda,VE,84.27,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
633,Lucea,JM,84.06,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
635,Kano,NG,76.89,clear sky,12.0001,8.5167,Havana Guest Inn
648,Maragogi,BR,76.68,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
650,Niamey,NE,88.09,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
651,Mae Sai,TH,74.52,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
652,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
655,Topchanchi,IN,77.04,few clouds,23.9,86.2,SHAAN-E-PUNJAB HOTEL
656,Katsuura,JP,72.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
658,Kluang,MY,76.73,overcast clouds,2.0251,103.3328,Hotel Anika
