City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Lebu,CL,2021-09-22 18:19:30,-37.6167,-73.65,54.59,61,69,7.14
130,Kodiak,US,2021-09-22 18:18:31,57.79,-152.4072,42.46,59,48,4.68
131,Qui Nhon,VN,2021-09-22 18:19:30,13.7667,109.2333,77.43,87,100,5.08
132,Ulagan,RU,2021-09-22 18:19:31,50.6321,87.9563,30.42,84,90,1.43
133,Sur,OM,2021-09-22 18:19:31,22.5667,59.5289,87.53,60,8,8.21
134,Airai,TL,2021-09-22 18:19:32,-8.9266,125.4092,56.79,59,90,3.24
135,Susurluk,TR,2021-09-22 18:19:33,39.9136,28.1578,66.69,62,68,4.23
136,Kailua,US,2021-09-22 18:18:59,21.4022,-157.7394,82.38,68,40,12.66
137,Klaksvik,FO,2021-09-22 18:17:28,62.2266,-6.589,49.12,70,91,22.1
138,Lipany,SK,2021-09-22 18:19:34,49.1538,20.9638,48.07,91,81,4.81
139,Komsomolskiy,UZ,2021-09-22 18:19:34,40.4272,71.7189,66.92,45,32,6.91
140,San Policarpo,PH,2021-09-22 18:19:35,12.1791,125.5072,79.25,82,95,1.81
141,Maniitsoq,GL,2021-09-22 18:19:35,65.4167,-52.9,36.72,44,11,9.31
142,Miles City,US,2021-09-22 18:19:36,46.4083,-105.8406,72.57,28,1,5.75
143,Sao Joao Da Barra,BR,2021-09-22 18:19:37,-21.6403,-41.0511,73.49,58,41,26.02
144,Khatanga,RU,2021-09-22 18:16:55,71.9667,102.5,33.06,98,100,12.06
145,Cape Town,ZA,2021-09-22 18:19:18,-33.9258,18.4232,68.11,63,0,1.01
146,Tilichiki,RU,2021-09-22 18:19:38,60.4667,166.1,40.98,91,100,4.83
147,Port Blair,IN,2021-09-22 18:19:38,11.6667,92.75,77.67,90,100,7.36
148,Aleksandrov Gay,RU,2021-09-22 18:19:38,50.147,48.5704,62.1,58,100,5.88
149,Zapolyarnyy,RU,2021-09-22 18:19:39,69.4154,30.8136,43.88,69,100,25.61
150,Gorontalo,ID,2021-09-22 18:19:40,0.5412,123.0595,73.9,98,100,2.84
